Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
The Pods,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfMspaOTerZ,12%,,Aktif,,,,Tidak,
Amaterasun,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK72DxYfOO0g,11%,,Aktif,,,,Tidak,
Anker,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJcDwefDrqNZ,11%,,Not Updated,,,,Tidak,
Anua,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQPlKwyzDXN,11%,,Aktif,,,,Tidak,
Avoskin new list,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJRqEdy07ocl,11-12%,,Aktif,,,,Tidak,
Azure Star,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJV1bUNWRg0l,11%,Ya,Aktif,,,,Tidak,
Betadine,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLGgkZ4YTXi,11%,,Aktif,,,,Tidak,
Case Sultan JRYU,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKPQME3GPwJn,11%,,Not Updated,,,,Tidak,
CimolBojot.AA,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJP1ftMENPbz,11%,,Aktif,,,,Tidak,
Dear Me Beauty,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK1CFLOfZtvJ,11%,,Aktif,,,,Tidak,
Esqa,Beauty & Health,HALUAN DIGITAL AGENCY X ESQA COSMETICS,https://affiliate-id.tokopedia.com/api/v1/share/AJquT2Jqf5SA,"11,12,13%",,Updated,,,,Tidak,7 July 2026
GREENEY,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJb7XWohwJ6i,11%,Ya,Aktif,,,,Tidak,
Hanasui,Beauty & Health,Haluan Digital Agency x Hanasui,https://affiliate-id.tokopedia.com/api/v1/share/AJroQ37FhfSq,11-12%,,Updated,,,,Tidak,7 July 2026
Harlette,Beauty & Health,Haluan Digital Agency x Beauty 3.0,https://affiliate-id.tokopedia.com/api/v1/share/AJfmMdEU20XL,11%,,Updated,,,,Tidak,21 July 2026
Harmits Project (Waistbag),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJxEQK0Zwmyb,11%,,Aktif,,,,Tidak,
Harumika,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKj11nb1uEMV,11%,,Aktif,,,,Tidak,
Herbloom,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg1lqTtHmzp,11%,,Aktif,,,,Tidak,
Illiyoon,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2wCCcygJ4,11%,,Aktif,,,,Tidak,
Inbex,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKZgbDrr6XPx,11%,,Not Updated,,,,Tidak,
Innisfree,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSfsAKMC8DG,11%,,Aktif,,,,Tidak,
Iswhite,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJgWjeQjr7eA,11%,,Aktif,,,,Tidak,
JACK.IDN,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSuu32eIOZW,11%,Ya,Aktif,,,,Tidak,
Jamay,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ29gSaqPpFp,11%,,Not Updated,,,,Tidak,
Kallyoutfit (Fashion Wanita),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQCgQ9xxKy4,11%,Ya,Aktif,,,,Tidak,
Kojic,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2vz41Vy3i,11%,,Aktif,,,,Tidak,
