Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
Mukena Aminah,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJiNjw9aumhc,7%,Ya,Aktif,,,,Tidak,
PERO Indonesia,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJrqQg4VF14r,7%,,Aktif,,,,Tidak,
Porto X,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJR4f3gZvCgg,7%,Ya,Aktif,,,,Tidak,
Rituals Food,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJJ3iytCgjAl,7%,,Aktif,,,,Tidak,
Samonomart.id,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL9DvbEhw0VU,7%,,samono indonesia & samonomart.id,,,,Tidak,
Scentplus,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ0psxlxwjo9,7%,,Aktif,,,,Tidak,
Seaways,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJuqFzBrZAYM,7%,,Aktif,,,,Tidak,
Somethinc,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKsFY7ysZ2gQ,7-15%,,Aktif,,,,Tidak,
Timephoria,Beauty & Health,HDA X Timephoria,https://affiliate-id.tokopedia.com/api/v1/share/AKF6seZTX7Ew,7%,,Updated,,,,Tidak,10 July 2026
TORRAS,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJluvAwUki15,7%,,Not Updated,,,,Tidak,
Tresemme,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfQDEhFBGRh,7-17%,,Aktif,,,,Tidak,
UCLOUDSOME,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKhS2PS23CZo,7%-9%,,Aktif,,,,Tidak,
Ugreen,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSUWQO83GeB,7-12%,,Updated,,,,Tidak,
Unitwo.id,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJtmgipCgZub,7%-10%,,Aktif,,,,Tidak,
Whiteinc,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJfA2BLkRyoQ,7%,,Aktif,,,,Tidak,
Whiteinc,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJWV6cVGQwZQ,8%,,Aktif,,,,Tidak,
Whiteinc,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJVSg9KkWmy5,10% (khusus top),,Aktif,,,,Tidak,
YNM,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ69vbjuE9o7,7%,,Aktif,,,,Tidak,
ZOOZY,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbQOXeKkMXO,7%,Ya,Aktif,,,,Tidak,
Altri Kids,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK13PTFHCz7x,6%,,Aktif,,,,Tidak,
Altri Women,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK13HWCOGp88,6%,,Aktif,,,,Tidak,
Baby Bombbear,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJVfKsGcAhmd,6%,,Aktif,,,,Tidak,
Bardi,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfN9RItg3o9,6%,,Aktif,,,,Tidak,
Casellla Apparell,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbCBAgLANlo,6%,,Aktif,,,,Tidak,
CUIT BABYWEAR,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJKDqALjfhwS,6%,Ya,Aktif,,,,Tidak,
D'Alba,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKPPSSCKL0Mq,6%,,Aktif,,,,Tidak,
Deviling,Home & Living,Campaign 1,"https://affiliate-id.tokopedia.com/api/v1/share/AK21kErQs5gp
https://affiliate-id.tokopedia.com/api/v1/share/AK21oamX1aqH",6%-9%,,Aktif,,,,Tidak,
DYSON,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKuCMBW4UI9L,6%,,Aktif,,,,Tidak,
Focalure,Beauty & Health,Haluan Digital Agency x Beauty 3.0,https://affiliate-id.tokopedia.com/api/v1/share/AL2Va481lXOA,6-8%,,Updated,,,,Tidak,9 July 2026
Gain Yum,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJOmujgV4rxp,6%,,Aktif,,,,Tidak,
Gain Yum,Food & FMCG,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJOmvDEwFH7u,10%,,Aktif,,,,Tidak,
Haji Salman Mukena Crinkle,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJrpgOVvgVZs,6%,,Aktif,,,,Tidak,
Huafit,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJN5GYfTJlqe,6-11%,,Aktif,,,,Tidak,
Jisulife,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMmnWTSpBnd,6%,,Aktif,,,,Tidak,
Living Mall Store,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKX8e8qt5y55,6%,,Aktif,,,,Tidak,
Lozy Hijab,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU31RsQhUPx,6%,Ya,Aktif,,,,Tidak,
Luxcrime,Beauty & Health,Haluan Digital Agency x Luxcrime,https://affiliate-id.tokopedia.com/api/v1/share/AKaG0cZBYosb,6%,,Updated,,,,Tidak,8 July 2026
MAHI Bango,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHtT0bOy222,6-8%,,Aktif,,,,Tidak,
MASTAP.ID,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKF5IGQVxJtl,6%-9%,,Aktif,,,,Tidak,
Moderno Houseware,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJc8bhTZUnqL,6%,,Aktif,,,,Tidak,
Moell,Mom & Baby,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLdtHTT9s06,6-15%,,Aktif,,,,Tidak,
NEW Cooger,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKhGjvUDY8Q7,6%,,Aktif,,,,Tidak,
OHSOME!,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJOo8FkSmD55,6%-11%,,Aktif,,,,Tidak,
QME,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJINGY6Ed26P,6%-10%,,Aktif,,,,Tidak,
SAGI,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJrwiVVHkXF4,6%,,Aktif,,,,Tidak,
SEMUT BERSIH,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKdGtznsQr79,6%-7%,,Aktif,,,,Tidak,
The Plaze,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKjvUCAJNrV1,6%,,Aktif,,,,Tidak,
Tirtir,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2mWvw51qD,6%,,Aktif,,,,Tidak,
Tomitaofficial,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJgbvNnrAKNQ,6%,,Aktif,,,,Tidak,
Unilever (Zwitsal),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJj3Ez6aOJOD,6-13%,,Aktif,,,,Tidak,
Vela Market Tissue,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJNqM7hdzNSg,6%,,Aktif,,,,Tidak,
Vivan,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbVSDXJCwXQ,6%,,Aktif,,,,Tidak,
WOSADO,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKJtfHwNGn8u,7%,,Aktif,,,,Tidak,
WOSADO,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKJtYjeYWywL,6%,,Aktif,,,,Tidak,
Biore,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfR723pmzLa,5-10%,,Aktif,,,,Tidak,
Blackmores,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfR5UgDbxKW,5%,,Aktif,,,,Tidak,
Blackmores,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKmKMqVoueIR,5%,,Aktif,,,,Tidak,
Cetaphil,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJRTSYntAeBI,5-24%,,Aktif,,,,Tidak,
GM Bear,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHFaOEQWMev,5%-7%,,Aktif,,,,Tidak,
Gudang Tas Berkualitas (Fashion Tas),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ6TB1EWraIA,5%,,Aktif,,,,Tidak,
Instaperfect (Paragon),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJRUeNe1VwBp,5-11%,Ya,Aktif,,,,Tidak,
Jacquelle,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AItZJ6InY3IL,5-9%,,Aktif,,,,Tidak,
Kintakun,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKTvmvV6CrIf,5%,,Aktif,,,,Tidak,
Lulu Jeans,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLDYj4jN3nR,5%,,Aktif,,,,Tidak,
MODISH.Indonesia,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJjmfxM0wYvC,5%,,Aktif,,,,Tidak,
Mosseru,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL7bbSJWhzig,5%,,Aktif,,,,Tidak,
OKAYAMA,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKufHobCTs29,5%,,Aktif,,,,Tidak,
Sanvanina (Jogger & Polo),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJqsRs3Xg1Mp,5%,,Aktif,,,,Tidak,
Simplus,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJINLhVvwXnC,5%,,Aktif,,,,Tidak,
Tweelyforbag,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ6TNJhqjN4X,5%,,Aktif,,,,Tidak,
Airbot,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMXZM4aurni,4%-8%,,Aktif,,,,Tidak,
Becoming,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL1RDikOje5S,4%,,Aktif,,,,Tidak,
Dove,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKR3zdAAO2QD,4-17%,,Aktif,,,,Tidak,
Makeover,Beauty & Health,Haluan Digital Agency x Beauty 3.0,https://affiliate-id.tokopedia.com/api/v1/share/AL1J4hmAhDdl,4-12%,,Updated,,,,Tidak,7 July 2026
Merries Indonesia,Mom & Baby,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQ6QspYraqk,4%,,Aktif,,,,Tidak,
Unilever (Dove),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHsYcXBZeo2,4-13%,,Aktif,,,,Tidak,
Vaseline,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJI1jf7oN4K6,4-13%,,Aktif,,,,Tidak,
Wardah (Paragon),Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AL1Pnervcwbs,4-11%,,Updated,,,,Tidak,7 July 2026
Gmeelan,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKEdTNz5dYS6,3-10%,,Aktif,,,,Tidak,
Huawei Pad,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfMFR69X6dl,3%,,Aktif,,,,Tidak,
Huawei Wearable,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfMGWCALxg4,3-4%,,Updated,,,,Tidak,
INTHEBOX,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL8TlFNJ5qKL,3%,,Aktif,,,,Tidak,
Pose,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJzxcFDLLyEo,3%,,Aktif,,,,Tidak,
Pose,Fashion,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJzxcFDLLyEo,3%,,Aktif,,,,Tidak,
Unilever (Lifebouy),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJpQLj9hqGJI,3-12%,,Aktif,,,,Tidak,
Unilever (LUX),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJrv3YSIqCef,3-13%,,Aktif,,,,Tidak,
Advan,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU8Lhof3B8g,2-12%,,Not Updated,,,,Tidak,
Changqong,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJhDwmaXaSg7,2%,,Aktif,,,,Tidak,
Diamond & Co,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK3wXS9sArTk,2%,,Aktif,,,,Tidak,
Infinix,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJR5P0KrYY8C,2%,,Aktif,,,,Tidak,
ITEL,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfN3a91tXsk,2%,,Aktif,,,,Tidak,
Mamypoko Unicharm,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGP6Zj8YSAT,2-6%,,Aktif,,,,Tidak,
Motorola,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJR5nuJCCTO7,2%,,Aktif,,,,Tidak,
Oppo,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLhVO70AB4G,2%,,Aktif,,,,Tidak,
TECNO,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSzqdSBirri,2%-4%,,Not Updated,,,,Tidak,
Unicharm Official,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMOJh3Yebxc,2-5%,,Aktif,,,,Tidak,
Agres ID Bogor,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJILDRmiNE5I,1%,,Aktif,,,,Tidak,
Bintangempat,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGDVOPSeypA,1%,,Aktif,,,,Tidak,
F&B NDSTOREMDN,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGFBKq4TaT9,1-2%,,Aktif,,,,Tidak,
FMCG NDSTOREMDN,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGLNjgPTZV5,1-3%,,Aktif,,,,Tidak,
KedaiMart,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGgbj1kqGwB,1%,,Aktif,,,,Tidak,
Nazura Mart & Sakura Store,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJPOPLs5CY46,1%,,Aktif,,,,Tidak,
Vivo,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJfo5vJoRCCq,1%,,Updated,,,,Tidak,
Xiaomi,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKTuR8FaxMVh,1-5%,,Updated,,,,Tidak,
Dorskin,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJlOUVKsQdl8,raecca,,Aktif,,,,Tidak,
gladtoglow,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ0oaMqtR3dL,,,Aktif,,,,Tidak,
Kahf(Paragon),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJoX8Xb4syOZ (1.0),Beauty,,Aktif,,,,Tidak,
Kahf(Paragon),Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJoXQwiiWHgb (2.0),Beauty,,Aktif,,,,Tidak,
SEPATUCANI/CANIKOREA,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJPPP6NpCIly,,Ya,Aktif,,,,Tidak,
sunsilk,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKWMOUBOPyGs,10-1%,,Aktif,,,,Tidak,
